"","Gruppe","samples","variable","value","se"
"1","AIH","AIH018","Shannon",2.33359322364583,NA
"2","AIH","AIH021","Shannon",2.57431882473324,NA
"3","AIH","AIH022","Shannon",1.84008087884079,NA
"4","AIH","AIH035","Shannon",3.17829877200402,NA
"5","AIH","AIH036","Shannon",1.98319903011817,NA
"6","AIH","AIH039","Shannon",3.03221911007458,NA
"7","AIH","AIH040","Shannon",1.68986053885927,NA
"8","AIH","AIH043","Shannon",2.77881273152698,NA
"9","AIH","AIH047","Shannon",3.44355202656067,NA
"10","AIH","AIH052","Shannon",3.00351169652591,NA
"11","AIH","AIH058","Shannon",4.09823176367123,NA
"12","AIH","AIH059","Shannon",3.39335581796725,NA
"13","AIH","AIH068","Shannon",3.64582887401061,NA
"14","AIH","AIH069","Shannon",3.50644236087543,NA
"15","AIH","AIH070","Shannon",3.17769027277541,NA
"16","AIH","AIH071","Shannon",3.02313146079283,NA
"17","nonAIHhepControl","AIH001","Shannon",3.2045900750246,NA
"18","nonAIHhepControl","AIH002","Shannon",3.25480432877655,NA
"19","nonAIHhepControl","AIH003","Shannon",2.70975676076723,NA
"20","nonAIHhepControl","AIH005","Shannon",3.25663178342811,NA
"21","nonAIHhepControl","AIH006","Shannon",3.33197657502096,NA
"22","nonAIHhepControl","AIH007","Shannon",1.01961352674765,NA
"23","nonAIHhepControl","AIH009","Shannon",1.84515276741516,NA
"24","nonAIHhepControl","AIH011","Shannon",0.814862506998261,NA
"25","nonAIHhepControl","AIH020","Shannon",2.3906183072103,NA
"26","nonAIHhepControl","AIH023","Shannon",1.73183457347574,NA
"27","nonAIHhepControl","AIH026","Shannon",2.37198977814761,NA
"28","nonAIHhepControl","AIH027","Shannon",2.45446745398067,NA
"29","nonAIHhepControl","AIH029","Shannon",2.8585396729996,NA
"30","nonAIHhepControl","AIH030","Shannon",3.43243451839894,NA
"31","nonAIHhepControl","AIH031","Shannon",2.62371628942854,NA
"32","nonAIHhepControl","AIH032","Shannon",1.58443192084012,NA
"33","nonAIHhepControl","AIH033","Shannon",1.66369034214708,NA
"34","nonAIHhepControl","AIH037","Shannon",2.57589415410622,NA
"35","nonAIHhepControl","AIH042","Shannon",3.11856994290159,NA
"36","nonAIHhepControl","AIH046","Shannon",1.68981767660467,NA
"37","nonAIHhepControl","AIH072","Shannon",2.69981171842644,NA
"38","nonAIHhepControl","AIH074","Shannon",2.95009598503451,NA
"39","nonAIHhepControl","AIH077","Shannon",2.73592573926363,NA
