"","Gruppe","samples","variable","value","se"
"1","healthy","AIH049","ACE",507.930319183401,10.9150272825269
"2","healthy","AIH050","ACE",490.111171178578,10.9316056708038
"3","healthy","AIH051","ACE",528.439550850828,11.2276091580433
"4","healthy","AIH053","ACE",476.615134419307,10.8066317264996
"5","healthy","AIH054","ACE",441.093107240612,10.3882308152086
"6","healthy","AIH055","ACE",290.90393633827,8.43978552314914
"7","healthy","AIH056","ACE",523.933934437166,11.3438343018761
"8","healthy","AIH057","ACE",552.82203899823,11.5288961974375
"9","healthy","AIH060","ACE",499.987622843532,11.1316614386654
"10","healthy","AIH061","ACE",415.595131835406,9.93240826616746
"11","healthy","AIH062","ACE",492.916791842894,10.917946400036
"12","healthy","AIH063","ACE",290.723303656758,8.1504094459105
"13","healthy","AIH064","ACE",577.625865011079,11.8174516299371
"14","healthy","AIH065","ACE",484.893145357316,10.7999199942334
"15","healthy","AIH066","ACE",347.624765436511,9.47035487166297
"16","healthy","AIH076","ACE",192.156585915493,6.87088505057771
"17","healthy","AIH081","ACE",280.35674816388,8.1134445274946
"18","healthy","AIH082","ACE",265.310857894405,8.08167633068902
"19","healthy","AIH083","ACE",383.76006629947,9.45127422712015
"20","nonAIHhepControl","AIH001","ACE",314.061624645221,8.77052548509153
"21","nonAIHhepControl","AIH002","ACE",352.106953030474,9.24693881407449
"22","nonAIHhepControl","AIH003","ACE",269.804981827852,8.22734348580961
"23","nonAIHhepControl","AIH005","ACE",389.675151426514,9.61535447729363
"24","nonAIHhepControl","AIH006","ACE",425.005368051991,10.2222781565541
"25","nonAIHhepControl","AIH007","ACE",152.589743589744,7.25728461390549
"26","nonAIHhepControl","AIH009","ACE",207.673175471298,7.08178814122912
"27","nonAIHhepControl","AIH011","ACE",109.632671974284,5.03751042744092
"28","nonAIHhepControl","AIH020","ACE",142.949065059245,6.14014428720635
"29","nonAIHhepControl","AIH023","ACE",137.744476884444,6.02757772412907
"30","nonAIHhepControl","AIH026","ACE",246.005551492587,7.72604528053355
"31","nonAIHhepControl","AIH027","ACE",291.446306441598,8.55334600441095
"32","nonAIHhepControl","AIH029","ACE",249.964058403287,8.09804016484295
"33","nonAIHhepControl","AIH030","ACE",295.410528533429,8.51954000578815
"34","nonAIHhepControl","AIH031","ACE",232.748357616111,7.53248269173554
"35","nonAIHhepControl","AIH032","ACE",196.682620783771,6.95830586836944
"36","nonAIHhepControl","AIH033","ACE",184.94845948088,6.80868160828955
"37","nonAIHhepControl","AIH037","ACE",182.506365853236,6.54895226282577
"38","nonAIHhepControl","AIH042","ACE",280.408332960407,8.26000560022453
"39","nonAIHhepControl","AIH046","ACE",404.899632298969,10.0360827777873
"40","nonAIHhepControl","AIH072","ACE",294.015522753023,8.67950605504029
"41","nonAIHhepControl","AIH074","ACE",219.079039661105,7.19392641144934
"42","nonAIHhepControl","AIH077","ACE",264.898793478261,7.99032476507703
