"","Gruppe","samples","variable","value","se"
"1","healthy","AIH049","Simpson",0.978206511414038,NA
"2","healthy","AIH050","Simpson",0.93817281978061,NA
"3","healthy","AIH051","Simpson",0.912104991197805,NA
"4","healthy","AIH053","Simpson",0.957404314130979,NA
"5","healthy","AIH054","Simpson",0.948017804828748,NA
"6","healthy","AIH055","Simpson",0.879921640201744,NA
"7","healthy","AIH056","Simpson",0.928655094624939,NA
"8","healthy","AIH057","Simpson",0.96215649798231,NA
"9","healthy","AIH060","Simpson",0.939328010756248,NA
"10","healthy","AIH061","Simpson",0.963502606168367,NA
"11","healthy","AIH062","Simpson",0.876267777206054,NA
"12","healthy","AIH063","Simpson",0.899472950654609,NA
"13","healthy","AIH064","Simpson",0.903090657202721,NA
"14","healthy","AIH065","Simpson",0.95299328524627,NA
"15","healthy","AIH066","Simpson",0.897893365833565,NA
"16","healthy","AIH076","Simpson",0.76473313643391,NA
"17","healthy","AIH081","Simpson",0.938797185917034,NA
"18","healthy","AIH082","Simpson",0.896507208665967,NA
"19","healthy","AIH083","Simpson",0.953193699742254,NA
"20","nonAIHhepControl","AIH001","Simpson",0.923076791913964,NA
"21","nonAIHhepControl","AIH002","Simpson",0.910788590441822,NA
"22","nonAIHhepControl","AIH003","Simpson",0.845189237454953,NA
"23","nonAIHhepControl","AIH005","Simpson",0.91862410348419,NA
"24","nonAIHhepControl","AIH006","Simpson",0.911853349313519,NA
"25","nonAIHhepControl","AIH007","Simpson",0.562584729896854,NA
"26","nonAIHhepControl","AIH009","Simpson",0.712858075236965,NA
"27","nonAIHhepControl","AIH011","Simpson",0.274703363774942,NA
"28","nonAIHhepControl","AIH020","Simpson",0.821367081738442,NA
"29","nonAIHhepControl","AIH023","Simpson",0.736316779990036,NA
"30","nonAIHhepControl","AIH026","Simpson",0.771084867264133,NA
"31","nonAIHhepControl","AIH027","Simpson",0.765607197131912,NA
"32","nonAIHhepControl","AIH029","Simpson",0.8894700763818,NA
"33","nonAIHhepControl","AIH030","Simpson",0.933012220034875,NA
"34","nonAIHhepControl","AIH031","Simpson",0.871347608129013,NA
"35","nonAIHhepControl","AIH032","Simpson",0.611427963551799,NA
"36","nonAIHhepControl","AIH033","Simpson",0.613362162267614,NA
"37","nonAIHhepControl","AIH037","Simpson",0.855930281395797,NA
"38","nonAIHhepControl","AIH042","Simpson",0.930925922197678,NA
"39","nonAIHhepControl","AIH046","Simpson",0.519088399475072,NA
"40","nonAIHhepControl","AIH072","Simpson",0.84058712309109,NA
"41","nonAIHhepControl","AIH074","Simpson",0.912773983155181,NA
"42","nonAIHhepControl","AIH077","Simpson",0.843771382036681,NA
