"","Gruppe","samples","variable","value","se"
"1","healthy","AIH049","Shannon",4.42832156898182,NA
"2","healthy","AIH050","Shannon",3.42836314113061,NA
"3","healthy","AIH051","Shannon",3.33913226438744,NA
"4","healthy","AIH053","Shannon",3.71989137380279,NA
"5","healthy","AIH054","Shannon",3.48501306993964,NA
"6","healthy","AIH055","Shannon",2.75640047453964,NA
"7","healthy","AIH056","Shannon",3.35662319707305,NA
"8","healthy","AIH057","Shannon",3.93050488197364,NA
"9","healthy","AIH060","Shannon",3.45860919947789,NA
"10","healthy","AIH061","Shannon",4.08579355161283,NA
"11","healthy","AIH062","Shannon",2.97591018207081,NA
"12","healthy","AIH063","Shannon",3.05654964184812,NA
"13","healthy","AIH064","Shannon",3.23037746376724,NA
"14","healthy","AIH065","Shannon",3.59830817575524,NA
"15","healthy","AIH066","Shannon",2.86073037352262,NA
"16","healthy","AIH076","Shannon",1.90631707417678,NA
"17","healthy","AIH081","Shannon",3.39114033261081,NA
"18","healthy","AIH082","Shannon",2.89138857025312,NA
"19","healthy","AIH083","Shannon",3.72332499600495,NA
"20","nonAIHhepControl","AIH001","Shannon",3.2045900750246,NA
"21","nonAIHhepControl","AIH002","Shannon",3.25480432877655,NA
"22","nonAIHhepControl","AIH003","Shannon",2.70975676076723,NA
"23","nonAIHhepControl","AIH005","Shannon",3.25663178342811,NA
"24","nonAIHhepControl","AIH006","Shannon",3.33197657502096,NA
"25","nonAIHhepControl","AIH007","Shannon",1.01961352674765,NA
"26","nonAIHhepControl","AIH009","Shannon",1.84515276741516,NA
"27","nonAIHhepControl","AIH011","Shannon",0.814862506998261,NA
"28","nonAIHhepControl","AIH020","Shannon",2.3906183072103,NA
"29","nonAIHhepControl","AIH023","Shannon",1.73183457347574,NA
"30","nonAIHhepControl","AIH026","Shannon",2.37198977814761,NA
"31","nonAIHhepControl","AIH027","Shannon",2.45446745398067,NA
"32","nonAIHhepControl","AIH029","Shannon",2.8585396729996,NA
"33","nonAIHhepControl","AIH030","Shannon",3.43243451839894,NA
"34","nonAIHhepControl","AIH031","Shannon",2.62371628942854,NA
"35","nonAIHhepControl","AIH032","Shannon",1.58443192084012,NA
"36","nonAIHhepControl","AIH033","Shannon",1.66369034214708,NA
"37","nonAIHhepControl","AIH037","Shannon",2.57589415410622,NA
"38","nonAIHhepControl","AIH042","Shannon",3.11856994290159,NA
"39","nonAIHhepControl","AIH046","Shannon",1.68981767660467,NA
"40","nonAIHhepControl","AIH072","Shannon",2.69981171842644,NA
"41","nonAIHhepControl","AIH074","Shannon",2.95009598503451,NA
"42","nonAIHhepControl","AIH077","Shannon",2.73592573926363,NA
