Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose	2_fibrose
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified-Porphyromonadaceae	4	16	13	37	24	0	4	645	33	0	7	0	29	14	7	1	0	1	0	1	0	0	5	1	2	5870	1363	1580	0	4474
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	0	3	2835	6	0	8	1	4	0	0	0	5	1	0	0	0	0	0	0	0	0	255	0	3	772	257	360	427	194
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	842	76	119	1477	407	1	78	714	102	11	13256	56	189	130	80	85	7	17	185	86	3	3	18387	24978	8819	81	4193	7819	68	7370
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified-Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	5942	15205	39428	14337	22934	27029	34413	15594	24169	1316	5546	15828	35487	17400	27587	2479	13149	301	2155	4016	7	12420	15084	9045	16871	34157	9535	21978	41710	3434
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]|[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified|unclassified-Bacteroidales	9	2	1	2	7	1	6	69	3	1	1	0	24	36	0	1	0	1	0	0	0	0	0	0	1	0	1	455	1	22527
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]|Cloacibacterium	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae|Bifissio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]|[Melainabacter]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	0	0	0	0	475	0	0	0	21	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	64	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|Methanomassiliicoccus	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	12	20	0	6	159	1	67	41	0	12	7
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	2	5	1	21	2	0	3	23	2	0	9	6	1	1	3	3	4	2	2	1	2	0	0	0	7	7	1	6	0	2
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0	6	1	0	4	3	0	5	4	19	1	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	70	11	5	2	4	8	8	4	160	5	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	423	96	443	318	361	35	78	925	88	61	115	105	191	88	81	16	65	176	22	43	0	24	7	62	22	213	48	2536	15	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	14	3	14	15	33	5	26	92	3	3	28	0	33	19	27	0	0	16	26	0	1	0	1	1	2	14	4	124	12	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	393	12	31	57	53	35	58	93	69	17	34	957	59	16	10	11	85	50	58	551	11	4	87	24	48	11	177	1696	38	7
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified|unclassified-Lactobacillales	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	2727	1617	254	877	261	2227	1656	1135	974	456	374	523	393	301	349	25	329	74	421	50	9	20	713	114	541	602	100	445	7847	890
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter	61	195	21	0	0	0	0	9	30	245	1	0	0	16	0	1	0	0	29	4	0	0	1	0	40	21	0	0	54	13
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	4	2	43	136	17	0	29	5	13	2	6	32	9	22	8	0	12	10	10	0	0	0	6	17	38	14	0	49	21	15
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	258	108	24	37	129	37	1668	1348	12	12	137	43	403	71	0	0	126	53	51	0	0	2	34	122	63	120	7	791	16	10
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|unclassified-Christensenellaceae	250	60	737	189	141	8	182	236	85	220	595	65	217	160	0	0	31	5	193	1	1	5	188	71	170	130	16	110	214	66
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	112	0	58	1	1	0	1176	1	0	0	51	0	288	3	0	0	0	0	0	0	0	0	0	0	3	254	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Butyricicoccus	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	852	282	270	277	161	365	778	3535	118	515	3521	422	672	1788	175	7	971	635	787	24	54	10	129	848	2247	1290	31	89	247	113
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Sarcina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified-Clostridiaceae	73	7	6	1	0	0	1067	89	0	0	126	0	9	5806	0	0	0	0	0	0	0	0	0	0	48	107	3	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Anaerococcus	0	0	2	0	1	0	0	0	0	0	0	2	1	3	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Parvimonas	0	1	3	2	0	0	4	3	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	7	1	0	0	0	1	1	0	8	4	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14	1	0	0	0	0	10	50	5	0	100	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2	0	0	0	1	1	3	0	0	0	16	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	3137	461	314	1721	290	633	1305	448	626	1650	403	1536	961	395	190	2	878	568	729	273	94	19	165	76	320	306	77	1514	355	474
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	3755	505	243	463	340	29	310	880	221	5109	213	607	380	98	228	84	70	1498	552	715	6	19	142	56	47	121	122	46	41	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anoxystipes	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	1348	112	132	343	125	22	219	188	116	851	151	765	158	49	663	38	142	2714	252	174	11	102	162	42	47	80	163	225	139	41
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	548	1199	295	35	24	91	29	314	402	973	76	597	150	136	50	80	624	370	649	11	0	362	18	314	173	101	45	133	35	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	596	104	24	90	23	28	72	81	61	258	36	51	168	26	35	171	72	832	3928	50	4	0	53	28	33	28	20	39	58	6
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	1093	24	100	160	132	27	290	10	0	314	32	132	86	33	18	0	30	1038	2379	209	9	10	21	20	16	82	27	10	42	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	384	105	115	164	73	59	121	276	193	373	209	138	71	463	94	139	107	1399	1104	120	13	303	46	12	67	60	25	58	14	5
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	10	0	0	1	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	2318	2442	163	4174	945	1635	5238	3315	834	395	865	18971	972	1987	3121	1	2871	1084	1440	627	61	23	3784	742	725	764	101	264	592	25
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus	114	80	24	37	18	33	8	0	49	30	11	158	43	3	0	0	234	0	76	39	0	5	93	0	1	27	0	0	299	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	32	46	15	107	43	2	9	453	141	202	100	37	23	17	5	0	22	13	18	426	2	194	113	10	46	11	23	33	46	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|[Ruminococcus]	0	2	0	10	3	4	12	98	3	0	4	18	22	9	10	2026	8	22	0	3	0	0	3	0	0	3	0	10	17	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified-Lachnospiraceae	6484	949	363	361	310	144	1416	814	1707	2375	356	5537	1303	265	592	6	322	1194	2045	941	27	16	1481	89	903	281	101	280	419	66
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter	9262	5633	3388	2268	1352	4053	2218	6023	3129	8389	1342	1315	4316	3177	689	277	6303	451	2037	336	2	535	11293	1606	4604	3254	1466	10458	622	1509
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Peptococcus	11	8	0	0	3	0	0	5	13	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	310	5	0	1	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridium	0	0	0	3	0	1	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	1	2	0	0	0	67	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Intestinibacter	194	59	1332	3790	2056	694	24	1181	15	59	22	122	219	3135	70	4	2025	5376	1599	3	12	2	133	1376	1322	878	55	1068	129	5
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137	3	2	12	1876	0	4	335	10	0	16	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|unclassified-Peptostreptococcaceae	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18	20	25	1	385	4999	4	382	719	19	27	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	297	478	456	66	115	38	96	294	119	486	113	143	105	10608	17	30	73	124	315	48	7	19	42	2343	30	1926	347	1727	39	232
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum	3	4	3	26	0	0	1	19	7	9	6	3	12	43	0	0	0	0	10	0	3	0	2	2	3	12	1	18	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	2	2	83	0	4	8	11	8	3	0	4	2	0	2	1	1	18	1	1	1	0	38	1	1	117	24	3	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Candidatus Soleaferrea	641	5	1	3	47	0	542	164	57	272	5	0	429	2	1	12	427	221	199	2	2	48	0	2	11	28	74	63	169	61
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	348	159	296	143	956	1002	36	583	75	284	3334	44	1274	606	162	2	3409	1944	217	313	63	3	841	245	34	98	32	50	34	34
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Gemmiger	619	177	1551	625	83	1377	976	465	386	797	350	0	6178	10410	0	1	673	14900	1250	254	0	1	507	131	367	1094	65	211	0	19
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	2	4	0	1	3	12	8	14	9	6	0	104	5	8	4	682	7	0	2	5	0	11	3	0	22	7	0	13	24	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	275	114	58	198	227	246	57	286	288	351	147	137	432	79	98	376	344	398	123	307	120	160	169	255	50	125	82	352	300	82
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	21	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	4265	1021	1042	6078	4326	880	1707	13605	913	8984	3786	952	6062	3450	1367	9	7093	6097	5636	2	3	63	649	219	2309	3645	66	4297	2030	6460
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified-Ruminococcaceae	11023	2797	3057	8224	8451	4109	2034	13813	3850	9594	2528	3845	6383	3682	2231	1344	6796	19209	11078	30117	196	532	7463	2763	6358	2037	2844	2566	3652	3115
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Howardella	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]|unclassified-Mogibacteriaceae	86	20	60	7	2	3	33	8	2	101	5	2	1	31	1	0	5	2	26	1	0	1	8	18	110	2	3	106	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified|unclassified-Clostridiales	9587	2078	1701	1910	645	263	2182	894	206	5982	2376	1973	1020	423	240	311	1529	397	1362	114	432	73	625	998	1045	873	217	388	2976	133
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|RFN20	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|p-75-a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0	4	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	9	0
