Leberstatus	1_normal	1_normal	1_normal	1_normal	1_normal	1_normal	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	19	12	0	25	0	2	16	10	47	5	8	0	7	1	42	46	11	1	13	15	13	50	42	23	26	16	2
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	7	6	1	18	20	16	40	115	10	5	23	5	26	1	26	3	9	0	11	8	8	6	15	3	102	21	19
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	771	76	6	18	2592	131	99	3012	416	140	592	0	2	1	150	159	1470	4144	130	3	893	6	1445	105	1328	1518	1966
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	11	0	0	0	3	0	12	2	0	1	0	0	0	49	0	0	0	3	0	0	0	3	0	0	0	1	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	349	0	1	3	96	76	12	75	10	4	16	0	7	0	5	0	2	0	6	64	0	8	8	0	10	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae	1	3	0	0	0	0	5	68	0	0	3	0	0	28	0	6	7	25	0	4	2	37	3	0	0	3	1
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0	0	0	0	0	1	0	4	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria|Proteobacteria|Gammaproteobacteria	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	1	0	2	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	1	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	7848	10	3	8	6	44	19	903	8	0	198	1692	3	0	555	30	295	5683	12	4837	9	51	69	2353	0	39	32
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	13	294	4	18	574	175	71	338	271	2	2469	0	5	408	1417	11	1128	17	151	5	248	6965	8529	4	53	1384	132
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0	0	0	8	0	0	14	6	0	1	1	2	0	0	1	7	0	0	7	0	0	1	0	0	17	0	1
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	4	3	0	14	3	5	22	7	1	2	5	4	8	0	2	18	0	0	3	2	1	11	5	5	35	16	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified|unclassified|unclassified-Bacteria	11	4	0	36	1883	4	0	2	0	0	97	2	33	13	0	109	10	1	0	0	12	17	13	0	3	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	15	2	13	8	3480	18	7	19	13	3904	9	16	1	1	8	15	702	3	143	13	0	6	9	3926	1278	4	9123
